# Generated by tools/export_justoliunet.py from weights/fp32/justoliunet/justoliunet_pixel1d_e31_miou0-908_K110.pt
# One pixel per line: 120 raw L1a bands | expected logits (numpy reference)
1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 5717.69531 6618.97314 8083.47656 9274.96094 9820.0957 10403.5508 10508.75 11034.0156 11682.1602 12062.7051 12672.6533 13502.6104 14684.7529 15353.3486 16093.6084 16565.1016 16936.8574 16746.3477 16945.6777 17527.0664 17855.3672 18521.2871 17888.4551 16964.7051 18035.832 18345.3711 18197.7676 17440.4297 17681.9121 17737.6973 17709.0059 16902.7227 16330.9854 17356.123 17227.2734 17402.4434 17474.9355 17528.0801 17041.7383 16870.6719 16868.9473 16777.4102 16703.7559 16205.6523 15846.4551 15738.3916 15144.1865 14769.7607 14720.4824 14310.8564 14438.6357 14359.041 13484.0596 13165.8477 13201.8789 13069.8193 12944.1289 12939.04 12508.7393 12130.9512 11846.9883 11857.0928 11638.8711 11318.5107 11003.4385 10997.6143 11028.9707 10844.9551 10619.4238 10339.6904 10071.4844 9922.70215 9568.02734 9787.72754 9687.31543 9569.46875 9488.08594 9300.59082 9099.59277 8796.30273 8093.14795 6795.46973 7107.25488 7372.271 7490.13525 7289.02588 7433.37646 7454.16113 7349.77393 6595.70947 5612.80518 5761.05469 5621.88184 5626.36328 5887.1001 6220.97705 6292.64697 6380.0127 6351.83447 6131.76758 5946.37549 5758.16113 3377.94482 2626.65186 4325.80908 5205.2915 5258.54395 5192.32959 5058.19727 4954.4165 1000000 1000000 | -0.320242223 -0.534120763 -3.89861423
1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 9144.57812 10806.9111 12818.9902 14397.9121 15249.6611 16015.0195 16215.7119 17080.3418 18196.2734 18959.6523 19852.3906 20828.4395 22141.3906 22723.1562 23486.1602 24059.7871 24552.6562 24350.6484 24618.9922 25313.3672 25626.4043 26409.9805 25709.4043 24771.9473 25977.3887 26351.8262 26218.6641 25489.3535 25726.4941 25839.3301 25852.7676 25050.3027 24416 25690.1426 25551.9688 25823.2715 25935.7617 26071.6758 25519.2598 25383.748 25442.3164 25393.5215 25364.1504 24812.3457 24507.6641 24437.4238 24058.3945 23630.4043 23632.1973 23252.7754 23403.1523 23425.4023 22339.375 21973.6719 22091.4082 21968.1738 21887.1348 21900.7148 21408.2871 21094.6836 20722.3789 20776.957 20450.7051 19951.9941 19475.2207 19502.7832 19587.8906 19328.2754 19001.8145 18496.6445 18143.3535 17863.8027 17412.3203 17689.627 17565.668 17494.6094 17294.041 17029.0117 16721.3047 16326.624 15350.2217 13372.6807 13874.4941 14230.3174 14369.7402 14039.6094 14181.4805 14180.6436 14005.4922 12724.5586 11034.7305 11278.6855 10954.8281 10905.2227 11447.0547 11927.9531 12016.9922 12164.9941 12101.2412 11733.5576 11404.1201 10891.9463 6660.72021 5162.71143 8185.17236 10035.0488 10122.2568 9926.32812 9687.68652 9401.81055 1000000 1000000 | -2.03618626 -1.21760536 -10.7655892
1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 -1136.06995 -1603.21704 -1039.9906 -406.946014 -242.034332 210.239822 351.404602 494.548157 566.333069 546.701782 947.944763 1808.16907 3055.13477 4129.60596 5106.51172 5701.24561 6176.92139 6281.71289 6667.65967 7383.44629 8016.80713 8823.25977 8560.71777 7939.81982 9147.11816 9677.83301 9808.94043 9317.66211 9858.74121 10156.3535 10387.0908 9876.36816 9655.28418 10780.6572 10964.6582 11376.5293 11730.8887 12041.3672 11908.5605 12028.3711 12306.9707 12508.8779 12731.0977 12573.4697 12509.1084 12705.7012 12363.6084 12331.0518 12594.752 12506.0654 12958.2568 13194.5537 12671.6455 12681.0137 13038.7686 13233.0918 13436.4043 13761.2119 13651.8008 13611.2002 13638.3516 13984.7666 14064.1465 14011.5234 13956.9043 14274.835 14640.9922 14736.3867 14772.167 14680.0879 14662.8232 14731.0752 14605.6465 15152.3203 15325.0352 15531.502 15646.9121 15681.8564 15672.4453 15566.6836 14884.1709 13191.6562 13936.5791 14544.9062 14937.7812 14844.7246 15233.9375 15476.5713 15532.0332 14355.1699 12676.2305 13151.6426 12960.7979 13084.5684 13946.4844 14702.9043 15010.4561 15402.46 15529.7861 15279.6445 15059.3066 14518.5645 9100.21387 7140.37256 11336.3955 14155.8506 14450.5146 14312.877 14147.2861 13849.2041 1000000 1000000 | -4.15271964 3.82122943 -21.1981428
1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 -1046.55078 -716.677246 227.03775 -970.940613 311.228516 1298.07666 503.958374 1465.21509 2134.34253 2663.73657 3160.69092 5135.07861 5040.68311 5898.44189 6132.57324 8222.97656 9203.75 9194.19434 8601.10352 9522.53125 10987.5957 12200.9697 15638.5283 18222.7266 15099.2939 12948.21 14049.5537 14024.1768 16359.7881 18474.4922 24569.4023 22771.6582 22606.5859 29485.0098 31701.918 34244.1016 33716.6016 30413.0918 30187.2891 30056.8711 26851.502 24530.0879 23423.6758 19658.5898 17899.0547 16726.2031 14853.8096 11883.6035 11823.7676 12158.1328 11742.2549 8429.6875 8326.01465 5894.82812 7101.50586 3718.45239 5153.13037 4651.9917 1026.27197 -349.943695 -426.140259 241.754944 -1963.64832 -4285.69336 -3509.0791 -4198.66357 -3220.39185 -994.631287 -4136.02295 -2806.68945 395.802917 509.61554 -658.05426 1875.6792 3166.0896 5767.20117 5901.87012 3585.05566 4121.53857 3859.44995 5674.26123 5695.979 3798.12817 2584.25049 5025.15039 6760.69189 6379.0918 6971.56348 8167.62061 8519.06055 8880.25391 9705.80469 9469.32617 9170.73438 11213.6758 8222.57715 7963.62646 7912.92578 5410.10596 5359.69336 3836.28394 4502.43652 2140.47461 1845.04663 3930.10718 4588.48926 2850.57397 276.63974 1741.44727 977.177856 1000000 1000000 | 8.1101117 -8.43600356 -31.2319926
1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 6489.16357 6377.85205 5455.61426 6149.06641 4846.81689 4552.15723 3382.65991 6520.68652 6736.59863 11882.2207 19957.6016 18364.5898 13305.1318 16827.7695 26122.5879 23901.2852 20614.0684 22556.5059 20298.5176 19492.8203 18911.2852 21629.9805 19880.9551 20137.0039 20936.627 18670.5762 17709.125 13976.0098 14515.8975 10953.9922 7379.17334 11877.2451 11419.0654 12360.8047 14297.9072 13179.7568 12650.2314 14433.6416 15213.6406 11061.3682 14269.6162 12215.9639 8443.38379 4911.55518 3253.41699 9318.11133 4336.21924 4858.38184 -3102.94727 -3326.92407 448.960419 -415.720703 -3018.25049 -2067.625 809.21344 3534.01074 11240.1455 12437.4365 10201.1113 9784.41406 9726.41602 10639.1055 10839.3223 11698.082 5893.75781 9414.78711 7911.26904 4096.37207 6792.63281 11739.8535 13701.3184 14579.3857 11590.5654 21990.1934 25310.2812 21946.5918 19564.6328 20007.4414 15038.1191 15585.2559 13559.8555 15456.4062 19041.3945 11792.9932 12238.7207 7461.87695 10902.7666 11469.5957 12911.3076 8942.22168 11867.8135 16796.3164 13780.5537 14414.4824 13390.7998 13668.5459 10456.3721 14916.8857 12182.25 10802.9619 11339.834 9097.01953 4961.20898 3065.59058 4494.23242 2650.02539 1402.53369 646.321899 -419.4664 -566.822815 1000000 1000000 | -1.55082682 -4.18759458 -22.1339706
1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 2835.94458 2029.93542 2104.36157 148.277893 -252.293427 -819.387573 -665.289124 1364.01733 -1012.73956 280.358826 492.950317 3873.97046 4835.63086 6663.52881 9241.80664 11848.6582 13273.0039 12596.0771 12408.8906 14678.7197 15222.8438 13268.7295 14104.9043 13893.168 16350.5752 16106.8301 17317.5684 14814.7979 15995.5527 15228.1748 16308.5693 17175.6289 15386.1475 16294.9697 16233.5615 18443.9082 19749.5703 17696.7891 18001.6934 19130.5176 22864.6934 19847.3164 18840.4707 20673.627 17944.9746 15714.3984 16061.2871 17524.8867 16274.0586 16856.4102 17204.8105 19969.6855 18961.0977 20394.1543 18851.7812 18369.5352 18029.5137 19938.6875 20070.4766 17423.0898 16611.3906 15374.7607 11471.6943 7143.69678 3834.89917 -233.830414 1023.6908 3999.92676 5832.354 10183.6553 10208.7568 10874.3711 10811.0371 14967.4053 12891.5693 14391.3926 16586.6562 17978.8906 20757.9668 20206.2988 17210.7578 17474.0527 17778.418 18873.7773 18193.3105 19644.5703 20929.5859 19427.793 19556.4805 16916.9629 13495.1475 12682.6367 11000.3506 10633.3193 10628.165 9941.35254 10627.9932 9611.2627 9600.89746 9583.90234 10834.9453 9754.4707 7075.09277 5562.1001 8630.04004 9921.68848 10587.3457 10424.7764 9130.62988 7841.56689 1000000 1000000 | 1.10161632 -8.78583938 -9.11863686
1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 -750.48938 -1756.90283 -442.903412 1333.14355 2279.16187 3013.30835 2615.25317 2790.27319 3887.99609 6483.84619 8112.32275 8587.91406 9843.55273 10060.5654 9894.18945 10179.3408 10867.9727 13318.957 13742.4404 16342.4639 19311.1992 20341.7871 22156.0371 22466.625 23321.25 24334.9258 24525.8945 23763.1738 24024.3379 24638.0742 25573.2188 23795.0332 23438.2715 22716.9023 23215.1543 24611.9629 25159.4336 25880.8926 26334.332 25284.207 25017.0977 25732.7676 27177.9297 27109.6074 30567.0195 30184.1484 31270.7305 32491.0469 32005.9453 29998.0137 27902.2539 27812.3027 27925.6211 27506.6289 27486.8066 26307.416 26662.7363 22840.873 22246.2773 21528.1367 18566.9551 21605.6816 18705.2598 16217.8213 13657.5703 14985.543 13375.4102 13867.0059 14192.5137 13934.7676 11532.9492 10290.6621 12054.5596 10318.1885 8903.6582 8414.54297 9344.27734 9399.58496 10111.4072 8312.38379 8788.13281 8055.75098 6483.76025 8599.61816 11512.457 10341.9941 10584.0352 12295.6895 10453.4873 7358.49414 5102.97461 4752.57275 4167.7417 4820.229 5375.78906 4520.43457 5240.1416 7310.5166 8571.85156 9352.53125 9178.86328 9758.41016 5419.14209 4571.21875 7271.77734 9910.23535 10448.4541 9381.33594 9302.63867 10026.2217 1000000 1000000 | -2.0298621 -4.78883241 -15.3635871
1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 11720.1836 14994.8496 17184.6621 17983.5957 19284.0703 18556.5645 18627.7012 17264.6855 18183.291 16161.2295 16534.1641 19394.4824 20043.2852 21398.6895 20847.627 19637.9531 17354.3496 18109.8281 17643.8633 20033.3496 17996.2012 17718.084 16625.5234 17252.2773 20558.375 19399.4707 17060.6133 13214.2744 15135.127 14699.6631 13345.3838 12189.0869 7470.30713 5263.29541 6444.48096 6960.6665 7072.40967 5250.57031 5683.43457 8237.12988 6059.83545 5833.72119 4883.84912 4955.39111 4453.73877 3959.13013 1479.3927 1069.06067 -195.035904 -995.195679 -1104.09656 -317.306305 -1921.18958 -2785.28369 -1162.73608 -1763.1842 -2492.88208 -1132.93201 -1081.77917 -1479.45239 -1331.78088 -3571.46436 -2897.04028 -803.692627 -13.4475698 -2647.62427 -2294.60107 -3879.9104 -4344.26465 -4068.90381 -6072.25537 -3982.69238 -4319.43848 -3057.14282 -2217.38525 -428.27948 1359.51245 -979.440979 -1033.31482 -4339.9624 -5237.75146 -4433.19922 -3304.83423 -1524.55347 -1952.30322 -1573.8916 -1297.13757 397.199432 2419.35083 1682.47607 5236.7168 5441.79492 5015.67334 5714.29053 6880.16016 7938.34473 7410.85303 9242.64844 9358.48145 10799.5371 12029.1973 10302.1436 5707.84082 3966.12988 6575.65137 8093.33887 8427.51758 7542.46875 7722.83057 8686.27051 1000000 1000000 | -5.79399965 0.706343505 -4.61721264
1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1758.37878 1443.70117 2592.17236 3305.89062 2446.21143 2435.11938 2849.25391 4478.5083 3377.7312 3461.03442 3269.91821 4618.75146 5937.94434 8107.98242 9173.82617 8707.85254 8094.13721 8115.36426 8415.36816 11358.7832 13342.6826 12266.665 11792.4658 9033.91602 7708.24316 8506.85742 8692.24512 6361.80371 8283.19727 6822.10205 5069.14258 4814.98926 4403.36084 4698.05566 4382.55371 4623.81396 4455.43555 4223.27539 1582.09888 -155.481995 754.996094 -9.00367355 881.038025 2431.34644 1915.22656 2500.06494 4715.64258 5695.46045 8401.51465 10376.748 11877.0137 12020.3486 10512.8828 9206.96191 10335.998 11341.0674 11527.3389 13221.0664 12569.9219 14252.3115 14566.2607 15089.8682 15344.1377 15288.2998 18443.293 16805.707 17425.4395 19024.748 19814.5977 19087.4805 20928.8887 19415.0078 17451.1719 18382.8125 16508.502 13554.0908 14328.1182 14835.7734 15239.1895 14156.9395 13290.7334 10407.4492 12400.5928 13374.1006 14102.4121 11665.0225 12463.3027 13814.376 14709.7676 13975.751 12047.4453 11943.1475 11998.376 12172.3936 12916.1953 13120.3848 14595.2979 13729.2285 13604.7422 12691.207 13153.8691 13613.9424 9001.01074 7251.66211 10557.9102 14494.3818 14985.9688 14585.5713 14261.2412 13574.4131 1000000 1000000 | -11.66822 6.80663536 -25.999215
1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1514.62341 3437.51904 2937.93701 5955.6333 4551.99512 5279.18799 4533.64893 4348.90576 4684.76855 4297.90918 1797.32214 4518.52539 7309.69385 11329.1279 15595.5762 12320.585 16022.6201 19274.0098 17943.2246 21363.7832 25719.998 24935.584 20350.2832 18403.0254 27461.6465 28547.7168 24960.9551 23550.416 20988.9414 19993.7969 20357.4629 12181.0068 12822.8105 18120.8535 17565.4766 16767.2383 20349.4805 16753.7441 12698.8643 8488.26855 8180.41455 9510.77441 9373.99316 10879.9199 13336.9014 15041.9482 12128.6162 11206.3066 15418.8984 11946.6689 11548.9473 10378.9453 9317.875 5914.44287 1873.95923 10187.541 13379.9912 11382.2627 11071.2236 13159.8789 12070.2295 14357.8164 12466.3506 11319.1113 11046.333 9951.67578 2759.53906 3034.9812 4016.92505 5637.72021 2876.44629 4168.92773 4844.14795 382.835663 -5531.67041 -3984.09521 -6123.82275 -2954.3313 3300.35156 1934.93018 127.05294 -38.9445419 2151.21753 9.23415089 3644.93921 6383.1123 8601.22754 7790.91992 10344.4893 11674.1445 8151.92334 12868.7383 12282.1484 13271.2158 13252.6738 14923.2861 17741.3359 16593.7383 13382.0703 12339.1826 9665.41797 8047.8418 4795.75098 3728.23364 7864.96143 7939.89795 8662.17969 7646.23828 9699.50293 13394.1172 1000000 1000000 | -1.95562953 6.30245888 -24.9515271
